month,state,soil type,seed type,weather condition,irrigation,fertilizer usage,pesticide usage,corn price(INR/kg),quality
August,Tripura,Alluvial soil,Open-pollinated,Warm and dry,Yes,151,41,44,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,30,30,Silkcut
August,Uttar Pradesh,Black soil,Hybrid,Warm and dry,Yes,293,51,21,Broken
August,Meghalaya,Alluvial soil,Hybrid,Monsoon,Yes,298,71,41,Discolored
January,Bihar,Black soil,Open-pollinated,Warm and dry,Yes,120,128,24,Pure
January,Nagaland,Alluvial soil,Hybrid,Warm and dry,Yes,179,22,21,Pure
October,Jharkhand,Red soil,Hybrid,Hot and humid,Yes,287,41,29,Pure
January,Uttar Pradesh,Clay soil,Hybrid,Hot and dry,No,120,20,21,Pure
January,Mizoram,Alluvial soil,Hybrid,Warm and dry,Yes,120,126,21,Pure
March,Assam,Clay soil,Hybrid,Hot and humid,Yes,291,20,21,Pure
February,Sikkim,Laterite soil,Open-pollinated,Warm and dry,Yes,149,31,41,Silkcut
September,Jharkhand,Alluvial soil,Open-pollinated,Hot and humid,Yes,257,31,43,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,29,21,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,147,32,40,Silkcut
March,Meghalaya,Alluvial soil,Hybrid,Monsoon,Yes,342,41,22,Pure
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,20,21,Pure
October,West Bengal,Red soil,Hybrid,Hot and dry,Yes,120,20,21,Silkcut
September,Nagaland,Laterite soil,Hybrid,Warm and dry,Yes,266,31,21,Silkcut
January,Jharkhand,Sandy loam,Open-pollinated,Monsoon,Yes,120,21,39,Pure
March,Jharkhand,Black soil,Hybrid,Warm and dry,Yes,199,21,21,Pure
May,Uttar Pradesh,Alluvial soil,Open-pollinated,Warm and dry,Yes,278,39,26,Silkcut
January,Jharkhand,Peaty soil,Hybrid,Hot and dry,No,120,20,21,Pure
May,Sikkim,Clay soil,Hybrid,Hot and humid,Yes,252,126,44,Silkcut
August,Mizoram,Sandy loam,Hybrid,Hot and dry,No,120,20,21,Pure
August,Jharkhand,Black soil,Hybrid,Hot and dry,Yes,273,20,40,Pure
March,West Bengal,Black soil,Hybrid,Hot and humid,Yes,121,40,40,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,150,31,30,Silkcut
April,Jharkhand,Laterite soil,Open-pollinated,Hot and humid,Yes,286,126,31,Silkcut
May,Sikkim,Laterite soil,Hybrid,Hot and humid,Yes,294,102,25,Broken
May,Bihar,Alluvial soil,Open-pollinated,Cold and dry,Yes,257,129,26,Broken
March,Punjab,Clay loam,Hybrid,Hot and humid,Yes,253,30,28,Silkcut
January,Punjab,Black soil,Hybrid,Hot and dry,Yes,120,20,20,Pure
February,Sikkim,Red soil,Open-pollinated,Warm and dry,Yes,180,29,40,Silkcut
March,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,290,30,21,Broken
October,Mizoram,Black soil,Hybrid,Warm and dry,Yes,181,50,24,Silkcut
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,181,39,20,Broken
January,Assam,Black soil,Hybrid,Cold and dry,Yes,285,40,24,Broken
May,Mizoram,Black soil,Hybrid,Hot and humid,Yes,179,73,28,Broken
December,Haryana,Peaty soil,Open-pollinated,Cold and dry,Yes,354,126,28,Broken
August,Jharkhand,Black soil,Hybrid,Warm and dry,Yes,290,40,43,Broken
February,Jharkhand,Clay loam,Hybrid,Hot and humid,Yes,289,30,42,Pure
March,Mizoram,Black soil,Hybrid,Monsoon,Yes,218,107,43,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,147,31,29,Silkcut
March,Assam,Sandy soil,Open-pollinated,Hot and humid,Yes,181,41,28,Silkcut
October,Mizoram,Alluvial soil,Hybrid,Warm and dry,Yes,281,79,42,Discolored
March,Tripura,Black soil,Open-pollinated,Hot and humid,Yes,180,101,28,Pure
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,348,50,27,Broken
December,Mizoram,Black soil,Hybrid,Hot and humid,Yes,122,105,21,Silkcut
December,Sikkim,Sandy loam,Hybrid,Cold and dry,Yes,282,31,41,Discolored
March,Haryana,Red soil,Open-pollinated,Warm and dry,Yes,150,71,26,Silkcut
January,Nagaland,Clay soil,Hybrid,Warm and dry,Yes,279,40,27,Pure
January,Punjab,Sandy loam,Hybrid,Warm and dry,Yes,180,41,20,Pure
September,Haryana,Black soil,Open-pollinated,Warm and dry,Yes,179,30,29,Silkcut
January,Assam,Sandy soil,Hybrid,Hot and dry,Yes,120,20,24,Pure
August,West Bengal,Red soil,Open-pollinated,Hot and humid,Yes,276,41,32,Broken
August,Sikkim,Black soil,Hybrid,Warm and dry,Yes,120,39,26,Pure
May,West Bengal,Peaty soil,Open-pollinated,Monsoon,Yes,265,125,21,Discolored
April,Jharkhand,Red soil,Hybrid,Hot and dry,Yes,279,22,21,Pure
March,Uttar Pradesh,Red soil,Hybrid,Hot and humid,No,178,73,25,Pure
October,Punjab,Laterite soil,Open-pollinated,Hot and humid,Yes,201,31,21,Pure
March,Mizoram,Black soil,Hybrid,Cold and dry,Yes,177,40,21,Broken
February,Mizoram,Clay loam,Open-pollinated,Warm and dry,Yes,181,70,26,Silkcut
May,Nagaland,Black soil,Open-pollinated,Monsoon,Yes,292,60,41,Silkcut
August,Nagaland,Sandy loam,Hybrid,Hot and humid,No,181,130,21,Pure
June,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,181,40,27,Broken
January,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,285,40,40,Pure
October,Bihar,Clay soil,Hybrid,Warm and dry,Yes,299,79,43,Discolored
March,Mizoram,Clay soil,Hybrid,Hot and humid,Yes,120,40,20,Discolored
March,West Bengal,Sandy loam,Hybrid,Hot and dry,No,301,20,21,Pure
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,181,41,26,Broken
January,Punjab,Sandy loam,Hybrid,Hot and dry,Yes,120,126,25,Pure
April,Assam,Red soil,Hybrid,Warm and dry,Yes,282,60,36,Pure
March,Mizoram,Black soil,Hybrid,Warm and dry,Yes,177,41,41,Broken
February,Meghalaya,Red soil,Open-pollinated,Monsoon,Yes,249,101,22,Silkcut
April,Haryana,Black soil,Open-pollinated,Warm and dry,Yes,241,71,28,Discolored
July,Sikkim,Black soil,Hybrid,Cold and dry,Yes,284,130,45,Discolored
January,Punjab,Black soil,Hybrid,Hot and dry,No,121,22,25,Pure
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,178,40,43,Broken
January,Tripura,Laterite soil,Hybrid,Hot and dry,Yes,219,21,42,Pure
January,Meghalaya,Peaty soil,Hybrid,Hot and dry,No,121,21,20,Pure
February,Meghalaya,Laterite soil,Open-pollinated,Warm and dry,Yes,237,31,21,Silkcut
May,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,120,41,20,Broken
March,Nagaland,Sandy soil,Open-pollinated,Warm and dry,Yes,180,130,40,Discolored
March,Jharkhand,Black soil,Open-pollinated,Hot and humid,Yes,281,31,25,Broken
May,Haryana,Laterite soil,Hybrid,Cold and dry,Yes,179,103,28,Pure
February,Sikkim,Peaty soil,Open-pollinated,Cold and dry,Yes,290,102,37,Discolored
December,Tripura,Sandy soil,Hybrid,Hot and dry,Yes,284,127,39,Discolored
December,Jharkhand,Black soil,Hybrid,Monsoon,Yes,179,40,30,Broken
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,280,31,30,Silkcut
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,291,41,31,Broken
March,Sikkim,Black soil,Hybrid,Hot and humid,Yes,297,51,37,Broken
April,Sikkim,Clay soil,Hybrid,Hot and dry,Yes,277,20,21,Silkcut
October,Bihar,Black soil,Hybrid,Hot and humid,Yes,219,40,21,Broken
October,Meghalaya,Red soil,Open-pollinated,Cold and dry,Yes,182,123,41,Discolored
March,Uttar Pradesh,Black soil,Hybrid,Warm and dry,Yes,121,41,32,Silkcut
June,Jharkhand,Black soil,Hybrid,Monsoon,Yes,283,106,38,Pure
January,Punjab,Red soil,Hybrid,Hot and dry,No,120,20,21,Pure
February,West Bengal,Sandy soil,Open-pollinated,Warm and dry,Yes,283,128,47,Silkcut
March,Haryana,Red soil,Hybrid,Hot and dry,Yes,264,104,41,Discolored
August,Uttar Pradesh,Sandy loam,Hybrid,Hot and dry,Yes,120,126,21,Discolored
January,Punjab,Sandy loam,Hybrid,Monsoon,Yes,120,20,40,Pure
August,Jharkhand,Alluvial soil,Hybrid,Hot and humid,Yes,180,40,41,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,150,30,24,Silkcut
December,Assam,Peaty soil,Hybrid,Monsoon,Yes,301,128,43,Discolored
September,Nagaland,Black soil,Hybrid,Monsoon,Yes,150,41,20,Pure
September,Nagaland,Red soil,Hybrid,Hot and humid,Yes,284,70,21,Pure
May,Uttar Pradesh,Alluvial soil,Hybrid,Hot and humid,Yes,120,39,28,Broken
November,Mizoram,Red soil,Open-pollinated,Monsoon,Yes,281,69,30,Discolored
December,Sikkim,Red soil,Hybrid,Hot and humid,Yes,349,70,43,Discolored
March,Uttar Pradesh,Alluvial soil,Open-pollinated,Monsoon,Yes,298,130,45,Discolored
January,Punjab,Sandy loam,Hybrid,Hot and humid,No,120,20,20,Pure
January,Mizoram,Sandy loam,Hybrid,Hot and dry,Yes,177,41,21,Pure
May,Mizoram,Red soil,Hybrid,Monsoon,Yes,290,72,44,Discolored
January,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,147,30,25,Silkcut
August,Bihar,Black soil,Open-pollinated,Hot and humid,Yes,314,41,42,Broken
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,150,30,21,Silkcut
August,Meghalaya,Laterite soil,Open-pollinated,Warm and dry,Yes,283,106,31,Discolored
August,Nagaland,Peaty soil,Open-pollinated,Warm and dry,Yes,120,31,29,Pure
October,Haryana,Alluvial soil,Open-pollinated,Warm and dry,Yes,152,29,44,Silkcut
June,Sikkim,Clay soil,Hybrid,Hot and humid,Yes,120,102,44,Discolored
June,Haryana,Red soil,Open-pollinated,Monsoon,Yes,177,30,25,Silkcut
March,Nagaland,Peaty soil,Hybrid,Warm and dry,Yes,283,124,21,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,150,31,43,Silkcut
January,West Bengal,Red soil,Hybrid,Hot and dry,Yes,288,68,20,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,30,21,Silkcut
August,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,263,70,43,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,147,31,27,Silkcut
June,Meghalaya,Sandy soil,Open-pollinated,Warm and dry,Yes,220,31,37,Silkcut
February,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,150,30,21,Silkcut
May,Haryana,Clay loam,Open-pollinated,Cold and dry,Yes,237,29,20,Silkcut
May,Sikkim,Laterite soil,Hybrid,Hot and dry,Yes,177,73,35,Silkcut
December,Meghalaya,Peaty soil,Hybrid,Hot and humid,Yes,181,41,28,Broken
January,Meghalaya,Alluvial soil,Open-pollinated,Cold and dry,Yes,297,100,41,Broken
March,Mizoram,Laterite soil,Open-pollinated,Warm and dry,Yes,272,71,20,Silkcut
February,Mizoram,Laterite soil,Hybrid,Monsoon,Yes,270,68,38,Discolored
August,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,31,21,Silkcut
January,Nagaland,Sandy loam,Open-pollinated,Hot and dry,No,120,20,21,Pure
December,Sikkim,Laterite soil,Hybrid,Monsoon,Yes,121,30,21,Silkcut
April,Mizoram,Black soil,Open-pollinated,Hot and dry,Yes,277,51,44,Silkcut
August,Jharkhand,Peaty soil,Open-pollinated,Cold and dry,Yes,248,71,41,Silkcut
January,Jharkhand,Red soil,Hybrid,Hot and humid,Yes,293,41,28,Pure
December,Uttar Pradesh,Red soil,Hybrid,Hot and humid,Yes,178,39,42,Broken
March,Assam,Black soil,Hybrid,Hot and humid,Yes,181,41,31,Silkcut
August,Mizoram,Peaty soil,Open-pollinated,Warm and dry,Yes,351,125,44,Discolored
February,Haryana,Clay loam,Open-pollinated,Hot and humid,Yes,147,31,31,Silkcut
December,Meghalaya,Clay loam,Open-pollinated,Warm and dry,Yes,282,93,30,Discolored
September,Meghalaya,Black soil,Hybrid,Monsoon,Yes,271,39,31,Pure
March,Tripura,Black soil,Hybrid,Hot and humid,Yes,178,40,20,Pure
March,Sikkim,Black soil,Hybrid,Warm and dry,Yes,295,40,27,Pure
September,Nagaland,Laterite soil,Open-pollinated,Hot and humid,Yes,287,40,30,Silkcut
February,Meghalaya,Peaty soil,Open-pollinated,Monsoon,Yes,218,128,45,Silkcut
December,Nagaland,Peaty soil,Open-pollinated,Hot and humid,Yes,287,71,38,Pure
April,Bihar,Laterite soil,Open-pollinated,Warm and dry,Yes,350,31,31,Silkcut
January,Uttar Pradesh,Clay loam,Hybrid,Hot and humid,Yes,215,30,27,Silkcut
April,Mizoram,Peaty soil,Open-pollinated,Warm and dry,Yes,357,30,29,Silkcut
August,Sikkim,Red soil,Open-pollinated,Cold and dry,Yes,291,72,29,Broken
August,Tripura,Red soil,Hybrid,Monsoon,Yes,299,126,38,Pure
August,Mizoram,Alluvial soil,Hybrid,Hot and humid,Yes,302,104,44,Pure
March,Uttar Pradesh,Black soil,Open-pollinated,Warm and dry,Yes,179,83,44,Broken
November,Sikkim,Alluvial soil,Open-pollinated,Cold and dry,Yes,181,40,32,Silkcut
October,Bihar,Clay loam,Hybrid,Warm and dry,Yes,150,41,27,Silkcut
October,Bihar,Red soil,Open-pollinated,Warm and dry,Yes,199,107,40,Pure
July,Sikkim,Clay soil,Hybrid,Hot and dry,Yes,218,107,40,Pure
February,Haryana,Red soil,Open-pollinated,Warm and dry,Yes,291,51,30,Silkcut
March,Haryana,Black soil,Hybrid,Hot and humid,Yes,292,91,43,Discolored
April,Bihar,Laterite soil,Hybrid,Warm and dry,Yes,286,31,25,Silkcut
May,Jharkhand,Alluvial soil,Hybrid,Warm and dry,Yes,291,101,20,Pure
March,Bihar,Black soil,Open-pollinated,Hot and dry,Yes,200,72,24,Pure
August,Jharkhand,Clay loam,Open-pollinated,Warm and dry,Yes,281,30,42,Silkcut
July,Meghalaya,Black soil,Hybrid,Warm and dry,Yes,295,104,21,Discolored
January,West Bengal,Clay soil,Hybrid,Hot and dry,Yes,279,127,20,Pure
October,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,151,31,21,Silkcut
January,Haryana,Clay loam,Hybrid,Hot and humid,No,122,40,24,Pure
January,Punjab,Black soil,Hybrid,Hot and dry,No,289,21,25,Broken
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,292,40,21,Silkcut
June,Meghalaya,Red soil,Open-pollinated,Warm and dry,Yes,297,31,26,Discolored
March,Mizoram,Peaty soil,Open-pollinated,Warm and dry,Yes,280,101,27,Broken
December,Sikkim,Peaty soil,Hybrid,Monsoon,Yes,286,126,31,Broken
March,Mizoram,Black soil,Hybrid,Hot and dry,Yes,350,40,25,Broken
January,Uttar Pradesh,Black soil,Hybrid,Hot and humid,No,120,20,25,Silkcut
March,Jharkhand,Black soil,Open-pollinated,Hot and humid,Yes,181,39,28,Broken
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,180,40,26,Broken
December,Sikkim,Black soil,Hybrid,Hot and humid,Yes,121,40,47,Broken
March,Uttar Pradesh,Black soil,Hybrid,Hot and dry,Yes,120,40,24,Silkcut
December,Sikkim,Red soil,Open-pollinated,Cold and dry,Yes,279,41,41,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,31,22,Silkcut
April,West Bengal,Clay soil,Open-pollinated,Cold and dry,Yes,290,101,42,Discolored
December,Haryana,Black soil,Open-pollinated,Hot and humid,Yes,216,40,24,Broken
August,Meghalaya,Red soil,Hybrid,Cold and dry,Yes,352,30,21,Discolored
December,Jharkhand,Red soil,Open-pollinated,Monsoon,Yes,292,81,39,Silkcut
May,Nagaland,Black soil,Open-pollinated,Hot and humid,Yes,218,127,40,Discolored
October,Sikkim,Sandy soil,Open-pollinated,Warm and dry,Yes,244,127,34,Discolored
April,Tripura,Red soil,Hybrid,Hot and dry,Yes,290,108,36,Pure
March,Uttar Pradesh,Red soil,Open-pollinated,Hot and dry,Yes,290,127,25,Broken
February,Jharkhand,Black soil,Hybrid,Warm and dry,Yes,120,126,24,Pure
August,Tripura,Sandy soil,Hybrid,Hot and dry,Yes,121,101,38,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,150,30,42,Silkcut
November,Mizoram,Sandy soil,Open-pollinated,Warm and dry,Yes,244,126,27,Silkcut
March,Haryana,Black soil,Hybrid,Hot and humid,Yes,294,88,26,Broken
May,Nagaland,Clay soil,Open-pollinated,Hot and humid,Yes,280,31,41,Silkcut
March,Nagaland,Red soil,Hybrid,Cold and dry,Yes,280,126,34,Broken
August,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,270,32,45,Silkcut
March,Punjab,Black soil,Hybrid,Hot and humid,Yes,283,40,46,Discolored
February,Mizoram,Black soil,Open-pollinated,Warm and dry,Yes,200,91,30,Discolored
April,Mizoram,Black soil,Hybrid,Hot and humid,Yes,120,41,21,Pure
January,Bihar,Clay soil,Hybrid,Warm and dry,Yes,120,41,20,Silkcut
April,Assam,Black soil,Hybrid,Warm and dry,Yes,283,21,32,Pure
August,Sikkim,Alluvial soil,Open-pollinated,Hot and humid,Yes,293,72,40,Silkcut
May,Sikkim,Laterite soil,Open-pollinated,Hot and dry,Yes,264,70,20,Discolored
March,Assam,Black soil,Hybrid,Hot and humid,Yes,122,39,41,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,30,29,Silkcut
November,Jharkhand,Black soil,Hybrid,Hot and dry,Yes,287,107,43,Pure
February,Haryana,Clay loam,Open-pollinated,Hot and humid,Yes,345,31,24,Silkcut
August,Mizoram,Red soil,Hybrid,Monsoon,Yes,282,129,29,Pure
March,Mizoram,Black soil,Hybrid,Hot and humid,Yes,305,103,27,Pure
July,Nagaland,Sandy soil,Hybrid,Monsoon,Yes,246,40,44,Discolored
January,Mizoram,Alluvial soil,Hybrid,Hot and dry,No,120,20,20,Pure
August,Tripura,Clay soil,Hybrid,Monsoon,Yes,306,50,27,Pure
November,Jharkhand,Sandy loam,Open-pollinated,Hot and dry,Yes,219,72,32,Discolored
February,Mizoram,Peaty soil,Open-pollinated,Warm and dry,Yes,203,30,27,Silkcut
January,Meghalaya,Sandy loam,Hybrid,Hot and dry,No,302,21,23,Pure
March,Jharkhand,Laterite soil,Hybrid,Warm and dry,Yes,219,32,43,Pure
August,Haryana,Clay loam,Hybrid,Monsoon,Yes,289,108,39,Discolored
February,Mizoram,Black soil,Open-pollinated,Hot and humid,Yes,289,51,42,Broken
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,121,21,22,Pure
July,Sikkim,Alluvial soil,Open-pollinated,Monsoon,Yes,279,91,44,Discolored
March,Haryana,Sandy loam,Hybrid,Hot and dry,Yes,122,20,26,Pure
March,Punjab,Red soil,Hybrid,Hot and humid,Yes,120,41,24,Broken
January,Nagaland,Sandy loam,Hybrid,Hot and dry,No,216,20,21,Pure
May,Sikkim,Black soil,Hybrid,Hot and humid,Yes,297,104,40,Broken
March,Haryana,Clay soil,Hybrid,Cold and dry,Yes,273,31,38,Broken
February,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,148,32,41,Silkcut
March,Nagaland,Black soil,Hybrid,Warm and dry,Yes,179,127,39,Silkcut
August,Sikkim,Laterite soil,Hybrid,Hot and humid,Yes,221,101,26,Discolored
February,Uttar Pradesh,Black soil,Hybrid,Monsoon,Yes,181,71,30,Silkcut
March,Bihar,Black soil,Hybrid,Cold and dry,Yes,178,39,28,Broken
July,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,179,40,23,Broken
July,Sikkim,Clay soil,Hybrid,Warm and dry,Yes,270,127,21,Silkcut
January,Haryana,Clay loam,Hybrid,Hot and dry,No,121,22,21,Pure
July,Mizoram,Alluvial soil,Open-pollinated,Warm and dry,Yes,150,73,21,Pure
January,Punjab,Sandy loam,Hybrid,Hot and dry,Yes,272,81,21,Pure
January,Jharkhand,Black soil,Hybrid,Warm and dry,Yes,272,41,24,Pure
April,Mizoram,Red soil,Hybrid,Hot and humid,Yes,220,130,41,Broken
March,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,181,40,32,Pure
July,Jharkhand,Sandy soil,Hybrid,Monsoon,Yes,345,31,41,Silkcut
February,Haryana,Black soil,Open-pollinated,Warm and dry,Yes,150,60,28,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,22,21,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,32,39,Silkcut
November,Haryana,Red soil,Open-pollinated,Hot and humid,Yes,120,128,30,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,285,31,30,Silkcut
January,Tripura,Black soil,Hybrid,Hot and humid,Yes,283,40,23,Pure
January,Bihar,Sandy loam,Hybrid,Hot and dry,No,121,20,21,Pure
September,Bihar,Clay loam,Hybrid,Hot and humid,Yes,179,72,29,Silkcut
August,Mizoram,Sandy soil,Hybrid,Monsoon,Yes,290,124,39,Broken
February,Sikkim,Laterite soil,Open-pollinated,Hot and humid,Yes,150,71,26,Silkcut
January,Tripura,Sandy loam,Hybrid,Hot and dry,Yes,120,82,25,Pure
January,Meghalaya,Clay soil,Hybrid,Hot and dry,Yes,349,108,20,Silkcut
December,Jharkhand,Red soil,Hybrid,Hot and humid,Yes,248,42,44,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,179,70,29,Silkcut
March,Nagaland,Red soil,Hybrid,Hot and dry,Yes,282,80,22,Pure
February,Haryana,Clay soil,Hybrid,Warm and dry,Yes,120,110,21,Silkcut
June,Meghalaya,Laterite soil,Open-pollinated,Warm and dry,Yes,150,123,41,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,150,30,28,Silkcut
January,Punjab,Black soil,Hybrid,Hot and humid,No,122,20,22,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,30,25,Silkcut
March,Meghalaya,Laterite soil,Open-pollinated,Hot and humid,Yes,150,71,32,Silkcut
February,Meghalaya,Sandy loam,Open-pollinated,Warm and dry,Yes,354,30,44,Silkcut
January,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,283,128,21,Pure
October,Uttar Pradesh,Peaty soil,Open-pollinated,Warm and dry,Yes,280,30,24,Silkcut
May,Punjab,Sandy soil,Hybrid,Warm and dry,Yes,177,29,21,Silkcut
April,Mizoram,Black soil,Hybrid,Hot and humid,Yes,218,102,41,Broken
January,Sikkim,Sandy loam,Hybrid,Hot and dry,No,120,20,20,Pure
March,Jharkhand,Black soil,Hybrid,Warm and dry,Yes,178,39,29,Pure
January,Punjab,Clay soil,Hybrid,Warm and dry,No,120,21,28,Pure
April,Meghalaya,Clay soil,Hybrid,Monsoon,Yes,297,123,44,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,277,30,21,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,152,31,25,Silkcut
April,Mizoram,Clay loam,Open-pollinated,Warm and dry,Yes,305,71,29,Discolored
August,Mizoram,Peaty soil,Hybrid,Hot and dry,Yes,290,128,28,Broken
October,West Bengal,Black soil,Hybrid,Monsoon,Yes,120,79,43,Broken
December,Jharkhand,Black soil,Hybrid,Hot and dry,Yes,121,32,42,Pure
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,180,40,27,Broken
September,Sikkim,Black soil,Hybrid,Hot and humid,Yes,293,40,40,Broken
February,Haryana,Sandy soil,Open-pollinated,Warm and dry,Yes,198,101,27,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,20,Pure
November,Jharkhand,Black soil,Hybrid,Warm and dry,Yes,149,128,30,Pure
January,Punjab,Black soil,Hybrid,Hot and dry,No,200,21,21,Pure
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,292,31,43,Pure
March,Haryana,Clay loam,Open-pollinated,Hot and humid,Yes,200,125,28,Discolored
February,Jharkhand,Sandy loam,Open-pollinated,Warm and dry,Yes,177,31,42,Pure
December,Sikkim,Black soil,Hybrid,Hot and humid,Yes,120,102,29,Pure
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,120,39,44,Silkcut
March,Uttar Pradesh,Red soil,Hybrid,Hot and humid,Yes,219,41,41,Broken
December,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,291,29,26,Silkcut
January,Nagaland,Clay soil,Hybrid,Hot and dry,No,122,20,21,Pure
August,Sikkim,Sandy soil,Hybrid,Monsoon,No,284,99,46,Silkcut
August,Mizoram,Red soil,Open-pollinated,Hot and humid,Yes,291,128,43,Discolored
April,Punjab,Sandy loam,Hybrid,Hot and dry,Yes,120,21,24,Pure
March,Uttar Pradesh,Sandy soil,Hybrid,Warm and dry,Yes,120,41,28,Pure
May,Uttar Pradesh,Black soil,Open-pollinated,Warm and dry,Yes,200,39,27,Broken
October,Jharkhand,Black soil,Open-pollinated,Hot and humid,Yes,278,50,21,Broken
January,Jharkhand,Alluvial soil,Hybrid,Hot and dry,No,120,20,21,Pure
October,Jharkhand,Clay loam,Open-pollinated,Warm and dry,Yes,296,71,31,Silkcut
October,Haryana,Clay loam,Open-pollinated,Hot and humid,Yes,146,51,27,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,23,Pure
March,Assam,Black soil,Open-pollinated,Warm and dry,Yes,148,41,31,Silkcut
February,Haryana,Clay loam,Hybrid,Warm and dry,Yes,149,32,21,Silkcut
January,Mizoram,Red soil,Open-pollinated,Hot and dry,No,296,40,27,Pure
January,Assam,Clay soil,Hybrid,Hot and dry,No,120,21,45,Silkcut
July,Haryana,Red soil,Hybrid,Hot and humid,Yes,147,41,29,Silkcut
March,Jharkhand,Alluvial soil,Open-pollinated,Hot and humid,Yes,295,124,29,Silkcut
February,Sikkim,Red soil,Open-pollinated,Warm and dry,Yes,148,31,25,Silkcut
April,Mizoram,Clay soil,Open-pollinated,Warm and dry,Yes,199,41,36,Silkcut
April,Assam,Red soil,Open-pollinated,Monsoon,Yes,178,51,40,Discolored
March,West Bengal,Black soil,Hybrid,Hot and humid,Yes,281,40,28,Broken
December,Jharkhand,Clay loam,Open-pollinated,Hot and humid,Yes,276,53,41,Discolored
August,Tripura,Black soil,Open-pollinated,Warm and dry,Yes,299,105,45,Silkcut
May,Sikkim,Peaty soil,Hybrid,Monsoon,Yes,219,130,29,Discolored
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,20,Pure
August,Meghalaya,Laterite soil,Hybrid,Cold and dry,Yes,277,31,32,Discolored
February,Punjab,Red soil,Hybrid,Hot and dry,No,120,20,22,Pure
August,Tripura,Sandy soil,Open-pollinated,Hot and humid,Yes,284,129,37,Discolored
September,Punjab,Clay soil,Hybrid,Warm and dry,Yes,180,127,26,Silkcut
March,Uttar Pradesh,Black soil,Hybrid,Hot and dry,Yes,120,41,21,Pure
March,West Bengal,Red soil,Hybrid,Hot and humid,No,260,107,26,Pure
May,West Bengal,Black soil,Hybrid,Warm and dry,Yes,177,40,25,Broken
March,Mizoram,Alluvial soil,Hybrid,Warm and dry,Yes,281,81,43,Silkcut
January,Punjab,Sandy loam,Hybrid,Warm and dry,No,120,21,20,Pure
